#Date, time, sensornum, avgWatts
2015 02 09, 14:38, 1, 6.59530661371
2015 02 09, 14:38, 1, 5.77113140855
2015 02 09, 14:39, 1, 4.95101135226
2015 02 09, 14:40, 1, 6.34064851994
2015 02 09, 14:40, 1, 5.54270610466
2015 02 09, 14:41, 1, 6.34608112379
2015 02 09, 14:42, 1, 5.12714893356
2015 02 09, 14:42, 1, 4.41982915796
2015 02 09, 14:43, 1, 4.255846746
2015 02 09, 14:43, 1, 6.11324217968
2015 02 09, 14:44, 1, 4.88861908153
2015 02 09, 14:44, 1, 5.89562663903
2015 02 09, 14:45, 1, 4.83447667418
2015 02 09, 14:46, 1, 5.9492788258
2015 02 09, 14:46, 1, 4.90818276145
2015 02 09, 14:47, 1, 5.58304110336
2015 02 09, 14:47, 1, 5.67936040182
2015 02 09, 14:48, 1, 5.47066417382
2015 02 09, 14:48, 1, 5.04349195852
2015 02 09, 14:49, 1, 6.71933496461
2015 02 09, 14:50, 1, 6.3021576498
2015 02 09, 14:50, 1, 5.86221091453
2015 02 09, 14:51, 1, 5.64575136838
2015 02 09, 14:51, 1, 5.65847321131
2015 02 09, 14:52, 1, 5.75227156707
2015 02 09, 14:52, 1, 5.84028767933
2015 02 09, 14:53, 1, 4.76904410221
2015 02 09, 14:53, 1, 4.86702635378
2015 02 09, 14:54, 1, 5.60422042206
2015 02 09, 14:54, 1, 5.87613725248
2015 02 09, 14:55, 1, 4.90228473744
2015 02 09, 14:55, 1, 5.37101020832
2015 02 09, 14:56, 1, 5.16124734826
2015 02 09, 14:56, 1, 5.3358136484
2015 02 09, 14:57, 1, 4.71857778194
2015 02 09, 14:57, 1, 4.81060865251
2015 02 09, 14:58, 1, 5.37680781127
2015 02 09, 14:59, 1, 5.42964929415
2015 02 09, 14:59, 1, 4.98190047848
2015 02 09, 15:00, 1, 5.35652711997
2015 02 09, 15:00, 1, 5.70162230752
2015 02 09, 15:01, 1, 6.21007876766
2015 02 09, 15:01, 1, 5.98122916431
2015 02 09, 15:02, 1, 6.3646067329
2015 02 09, 15:02, 1, 4.63258424482
2015 02 09, 15:03, 1, 6.05308683169
2015 02 09, 15:04, 1, 9.07924889573
2015 02 09, 15:04, 1, 4.72506958897
2015 02 09, 15:05, 1, 4.34547868257
2015 02 09, 15:05, 1, 5.48903059914
2015 02 09, 15:06, 1, 6.17176672126
2015 02 09, 15:06, 1, 6.68429993936
2015 02 09, 15:07, 1, 4.8769644063
2015 02 09, 15:08, 1, 4.80456769299
2015 02 09, 15:08, 1, 5.80006491051
2015 02 09, 15:09, 1, 5.03676880637
2015 02 09, 15:09, 1, 5.50372256984
2015 02 09, 15:10, 1, 4.64369755205
2015 02 09, 15:10, 1, 4.72429677357
2015 02 09, 15:11, 1, 4.41650366934
2015 02 09, 15:11, 1, 4.22397042151
2015 02 09, 15:12, 1, 4.7383302722
2015 02 09, 15:12, 1, 4.7836368894
2015 02 09, 15:13, 1, 4.56782439995
2015 02 09, 15:14, 1, 5.61533644768
2015 02 09, 15:15, 1, 4.69050474556
2015 02 09, 15:15, 1, 4.09573421001
2015 02 09, 15:16, 1, 4.77502272605
2015 02 09, 15:17, 1, 5.25863138843
2015 02 09, 15:18, 1, 5.17643819089
2015 02 09, 15:19, 1, 5.35518806932
2015 02 09, 15:20, 1, 5.16604421666
2015 02 09, 15:20, 1, 5.25612265936
2015 02 09, 15:21, 1, 5.37019115988
2015 02 09, 15:22, 1, 5.75886048164
2015 02 09, 15:23, 1, 4.76222801299
2015 02 09, 15:23, 1, 4.76754013316
2015 02 09, 15:24, 1, 6.18718597269
2015 02 09, 15:25, 1, 6.18396745519
2015 02 09, 15:25, 1, 3.94497567301
2015 02 09, 15:26, 1, 6.54433725288
2015 02 09, 15:26, 1, 5.87736575524
2015 02 09, 15:27, 1, 5.51104809794
2015 02 09, 15:28, 1, 4.78436875795
2015 02 09, 15:28, 1, 5.95598618628
2015 02 09, 15:29, 1, 6.33405295623
2015 02 09, 15:29, 1, 4.71535828297
2015 02 09, 15:30, 1, 5.89625557382
2015 02 09, 15:30, 1, 3.44198376182
2015 02 09, 15:31, 1, 4.32305819356
2015 02 09, 15:31, 1, 5.68119192103
2015 02 09, 15:32, 1, 4.949261997
2015 02 09, 15:32, 1, 5.13648389509
2015 02 09, 15:33, 1, 5.33294083054
2015 02 09, 15:34, 1, 5.50599208893
2015 02 09, 15:35, 1, 4.61822127462
2015 02 09, 15:35, 1, 4.38965394879
2015 02 09, 15:36, 1, 5.58667818783
2015 02 09, 15:36, 1, 5.3732611081
2015 02 09, 15:37, 1, 5.19876140798
2015 02 09, 15:37, 1, 5.12464756749
2015 02 09, 15:38, 1, 5.53152921326
2015 02 09, 15:38, 1, 5.24293499947
2015 02 09, 15:39, 1, 5.96749315541
2015 02 09, 15:40, 1, 5.55409602926
2015 02 09, 15:40, 1, 5.18035046169
2015 02 09, 15:41, 1, 5.81036834734
2015 02 09, 15:41, 1, 5.49437961744
2015 02 09, 15:42, 1, 6.14208794158
2015 02 09, 15:43, 1, 5.11124603084
2015 02 09, 15:43, 1, 5.61120231361
2015 02 09, 15:44, 1, 4.7507310243
2015 02 09, 15:44, 1, 5.73403950335
2015 02 09, 15:45, 1, 4.45198405648
2015 02 09, 15:46, 1, 4.74999632539
2015 02 09, 15:46, 1, 5.67236796778
2015 02 09, 15:47, 1, 5.8099406978
2015 02 09, 15:47, 1, 5.72686591615
2015 02 09, 15:48, 1, 5.25414065626
2015 02 09, 15:49, 1, 4.34170478884
2015 02 09, 15:49, 1, 4.87539724959
2015 02 09, 15:50, 1, 4.91901947456
2015 02 09, 15:50, 1, 5.63707954915
2015 02 09, 15:51, 1, 5.24053223287
2015 02 09, 15:51, 1, 5.1679761658
2015 02 09, 15:52, 1, 6.31069425269
2015 02 09, 15:52, 1, 4.06676718675
2015 02 09, 15:53, 1, 6.05001386698
2015 02 09, 15:53, 1, 5.72407394622
2015 02 09, 15:54, 1, 5.51084519792
2015 02 09, 15:54, 1, 5.15976192822
2015 02 09, 15:55, 1, 5.5679835537
2015 02 09, 15:55, 1, 6.35411907739
2015 02 09, 15:56, 1, 5.56291526296
2015 02 09, 15:57, 1, 5.61462401737
2015 02 09, 15:58, 1, 4.62250269623
2015 02 09, 15:58, 1, 6.00888157972
2015 02 09, 15:59, 1, 5.04115381884
2015 02 09, 15:59, 1, 4.70441631993
2015 02 09, 16:00, 1, 5.45722873185
2015 02 09, 16:00, 1, 4.59129961208
2015 02 09, 16:01, 1, 4.86848015697
2015 02 09, 16:01, 1, 5.07021237765
2015 02 09, 16:02, 1, 4.97305489188
2015 02 09, 16:03, 1, 5.57930908743
2015 02 09, 16:03, 1, 5.73385373787
2015 02 09, 16:04, 1, 6.35047774295
2015 02 09, 16:04, 1, 5.32941377234
2015 02 09, 16:05, 1, 6.28021657466
2015 02 09, 16:05, 1, 4.70387442857
2015 02 09, 16:06, 1, 5.63673966419
2015 02 09, 16:07, 1, 5.00536351003
2015 02 09, 16:08, 1, 4.88758778789
2015 02 09, 16:08, 1, 3.87774039378
2015 02 09, 16:09, 1, 5.40825150537
2015 02 09, 16:09, 1, 4.62134855339
2015 02 09, 16:10, 1, 5.62947110347
2015 02 09, 16:10, 1, 5.49333279025
2015 02 09, 16:11, 1, 6.00545708462
2015 02 09, 16:11, 1, 4.8265019915
2015 02 09, 16:12, 1, 4.89232114864
2015 02 09, 16:12, 1, 4.40305553371
2015 02 09, 16:13, 1, 6.30918757523
2015 02 09, 16:13, 1, 5.80829308879
2015 02 09, 16:14, 1, 4.85514792684
2015 02 09, 16:14, 1, 6.21523834788
2015 02 09, 16:15, 1, 6.79566456719
2015 02 09, 16:15, 1, 5.36446993942
2015 02 09, 16:16, 1, 5.42143377021
2015 02 09, 16:16, 1, 6.10093105592
2015 02 09, 16:17, 1, 4.98927477239
